location,datetime,pr,obs_CDF,past_CDF,future_CDF,past_pr,future_pr,delta,projected_pr
Tampa,2000-10-15 01:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-15 02:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-15 03:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-15 04:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-15 05:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-15 06:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-15 07:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-15 08:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-15 09:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-15 10:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-15 11:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-15 12:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-15 13:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-15 14:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-15 15:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-15 16:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-15 17:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-15 18:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-15 19:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-15 20:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-15 21:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-15 22:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-15 23:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-16 00:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-16 01:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-16 02:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-16 03:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-16 04:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-16 05:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-16 06:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-16 07:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-16 08:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-16 09:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-16 10:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-16 11:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-16 12:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-16 13:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-16 14:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-16 15:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-16 16:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-16 17:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-16 18:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-16 19:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-16 20:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-16 21:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-16 22:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-16 23:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-17 00:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-17 01:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-17 02:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-17 03:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-17 04:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-17 05:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-17 06:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-17 07:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-17 08:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-17 09:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-17 10:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-17 11:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-17 12:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-17 13:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-17 14:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-17 15:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-17 16:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-17 17:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-17 18:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-17 19:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-17 20:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-17 21:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-17 22:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-17 23:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-18 00:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-18 01:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-18 02:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-18 03:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-18 04:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-18 05:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-18 06:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-18 07:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-18 08:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-18 09:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-18 10:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-18 11:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-18 12:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-18 13:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-18 14:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-18 15:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-18 16:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-18 17:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-18 18:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-18 19:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-18 20:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-18 21:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-18 22:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-18 23:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-19 00:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-19 01:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-19 02:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-19 03:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-19 04:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-19 05:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-19 06:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-19 07:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-19 08:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-19 09:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-19 10:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-19 11:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-19 12:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-19 13:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-19 14:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-19 15:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-19 16:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-19 17:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-19 18:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-19 19:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-19 20:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-19 21:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-19 22:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-19 23:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-20 00:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-20 01:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-20 02:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-20 03:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-20 04:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-20 05:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-20 06:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-20 07:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-20 08:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-20 09:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-20 10:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-20 11:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-20 12:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-20 13:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-20 14:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-20 15:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-20 16:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-20 17:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-20 18:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-20 19:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-20 20:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-20 21:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-20 22:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-20 23:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-21 00:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-21 01:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-21 02:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-21 03:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
Tampa,2000-10-21 04:00:00,0.0,0.36652975085944384,0.3773046117093377,0.3756836509833301,-0.1454964546895929,-0.12812465470407278,1.0,0.0
